STOP_SEQ,STOP_ID,STOP_NAME,ON,OFF,LOAD,MO,DAY,YR,ROUTE,LATITUDE,LONGITUDE,TRIP_ID,DIR,VEHNO,TIMESTOP,TIMEDOORCLOSE,TIMEPULLOUT,TRIPCODE,TRIPSTOP,DOORDWELL,WAITDWELL
22,3893, CALIFORNIA ST&PRESIDIO AVE S,0,0,0,10,4,12,1,37.78547,122.44142,758,1,2801,8:09:20,8:09:20,8:09:20,1001.1 _ 2801_4684 _  75, 1022_ CALIFORNIA ST&PRESIDIO AVE S,0:00:00,0:00:00
23,3848, CALIFORNIA ST&BAKER ST SE-FS,0,0,0,10,4,12,1,37.78614,122.44039,758,1,2801,8:11:24,8:11:24,8:11:24,1001.1 _ 2801_4684 _  75, 1023_ CALIFORNIA ST&BAKER ST SE-FS,0:00:00,0:00:00
24,3859, CALIFORNIA ST&DIVISADERO ST,0,0,0,10,4,12,1,37.78616,122.44023,758,1,2801,8:11:32,8:11:32,8:11:32,1001.1 _ 2801_4684 _  75, 1024_ CALIFORNIA ST&DIVISADERO ST,0:00:00,0:00:00
25,3885, CALIFORNIA ST&PIERCE ST SE-F,0,0,0,10,4,12,1,37.78662,122.43661,758,1,2801,8:12:12,8:12:12,8:12:12,1001.1 _ 2801_4684 _  75, 1025_ CALIFORNIA ST&PIERCE ST SE-F,0:00:00,0:00:00
27,6489, STEINER ST&SACRAMENTO ST SE-,0,0,0,10,4,12,1,37.787,122.43361,758,1,2801,8:12:42,8:12:42,8:12:42,1001.1 _ 2801_4684 _  75, 1027_ STEINER ST&SACRAMENTO ST SE-,0:00:00,0:00:00
28,6296, SACRAMENTO ST&FILLMORE ST SE,0,0,0,10,4,12,1,37.78713,122.43258,758,1,2801,8:12:52,8:12:52,8:12:52,1001.1 _ 2801_4684 _  75, 1028_ SACRAMENTO ST&FILLMORE ST SE,0:00:00,0:00:00
29,6320, SACRAMENTO ST&WEBSTER ST SW-,0,0,0,10,4,12,1,37.78725,122.43167,758,1,2801,8:13:02,8:13:02,8:13:02,1001.1 _ 2801_4684 _  75, 1029_ SACRAMENTO ST&WEBSTER ST SW-,0:00:00,0:00:00
30,6292, SACRAMENTO ST&BUCHANAN ST SW,0,0,0,10,4,12,1,37.78743,122.43035,758,1,2801,8:13:52,8:13:52,8:13:52,1001.1 _ 2801_4684 _  75, 1030_ SACRAMENTO ST&BUCHANAN ST SW,0:00:00,0:00:00
31,6306, SACRAMENTO ST&LAGUNA ST SW-N,0,0,0,10,4,12,1,37.78761,122.42892,758,1,2801,8:14:22,8:14:22,8:14:22,1001.1 _ 2801_4684 _  75, 1031_ SACRAMENTO ST&LAGUNA ST SW-N,0:00:00,0:00:00
32,6310, SACRAMENTO ST&OCTAVIA ST SE-,0,0,0,10,4,12,1,37.78793,122.42635,758,1,2801,8:15:49,8:15:49,8:15:49,1001.1 _ 2801_4684 _  75, 1032_ SACRAMENTO ST&OCTAVIA ST SE-,0:00:00,0:00:00
33,4905, GOUGH ST&SACRAMENTO ST NE-FS,0,0,0,10,4,12,1,37.78807,122.42524,758,1,2801,8:16:24,8:16:24,8:16:24,1001.1 _ 2801_4684 _  75, 1033_ GOUGH ST&SACRAMENTO ST NE-FS,0:00:00,0:00:00
35,4031, CLAY ST&VAN NESS AVE SW-NS/B,0,0,0,10,4,12,1,37.78862,122.42117,758,1,2801,8:18:11,8:18:11,8:18:11,1001.1 _ 2801_4684 _  75, 1035_ CLAY ST&VAN NESS AVE SW-NS/B,0:00:00,0:00:00
36,4026, CLAY ST&POLK ST SE-FS/BZ,0,0,0,10,4,12,1,37.78873,122.42011,758,1,2801,8:18:22,8:18:22,8:18:22,1001.1 _ 2801_4684 _  75, 1036_ CLAY ST&POLK ST SE-FS/BZ,0:00:00,0:00:00
37,4022, CLAY ST&LARKIN ST SW-NS/BZ,0,0,0,10,4,12,1,37.78884,122.41908,758,1,2801,8:18:32,8:18:32,8:18:32,1001.1 _ 2801_4684 _  75, 1037_ CLAY ST&LARKIN ST SW-NS/BZ,0:00:00,0:00:00
38,4019, CLAY ST&HYDE ST SW-NS/BZ,0,0,0,10,4,12,1,37.78908,122.41713,758,1,2801,8:18:58,8:18:58,8:18:58,1001.1 _ 2801_4684 _  75, 1038_ CLAY ST&HYDE ST SW-NS/BZ,0:00:00,0:00:00
39,4023, CLAY ST&LEAVENWORTH ST SW-NS,0,0,0,10,4,12,1,37.78929,122.41554,758,1,2801,8:19:25,8:19:25,8:19:25,1001.1 _ 2801_4684 _  75, 1039_ CLAY ST&LEAVENWORTH ST SW-NS,0:00:00,0:00:00
40,4020, CLAY ST&JONES ST SW-NS/BZ,0,0,0,10,4,12,1,37.78956,122.4135,758,1,2801,8:19:51,8:19:51,8:19:51,1001.1 _ 2801_4684 _  75, 1040_ CLAY ST&JONES ST SW-NS/BZ,0:00:00,0:00:00
41,4030, CLAY ST&TAYLOR ST SE-FS/BZ,0,0,0,10,4,12,1,37.78973,122.4122,758,1,2801,8:20:04,8:20:04,8:20:04,1001.1 _ 2801_4684 _  75, 1041_ CLAY ST&TAYLOR ST SE-FS/BZ,0:00:00,0:00:00
42,4024, CLAY ST&MASON ST SE-FS/BZ,0,0,0,10,4,12,1,37.78998,122.41015,758,1,2801,8:20:22,8:20:22,8:20:22,1001.1 _ 2801_4684 _  75, 1042_ CLAY ST&MASON ST SE-FS/BZ,0:00:00,0:00:00
43,4027, CLAY ST&POWELL ST SW-NS/BZ,0,0,0,10,4,12,1,37.79017,122.40882,758,1,2801,8:20:35,8:20:35,8:20:35,1001.1 _ 2801_4684 _  75, 1043_ CLAY ST&POWELL ST SW-NS/BZ,0:00:00,0:00:00
44,4029, CLAY ST&STOCKTON ST SE-FS/BZ,0,0,0,10,4,12,1,37.79044,122.40696,758,1,2801,8:20:55,8:20:55,8:20:55,1001.1 _ 2801_4684 _  75, 1044_ CLAY ST&STOCKTON ST SE-FS/BZ,0:00:00,0:00:00
45,4018, CLAY ST&GRANT AVE SE-FS/BZ,0,0,0,10,4,12,1,37.79053,122.40593,758,1,2801,8:21:08,8:21:08,8:21:08,1001.1 _ 2801_4684 _  75, 1045_ CLAY ST&GRANT AVE SE-FS/BZ,0:00:00,0:00:00
46,4021, CLAY ST&KEARNY ST SE-FS/BZ,0,0,0,10,4,12,1,37.79084,122.40336,758,1,2801,8:22:20,8:22:20,8:22:20,1001.1 _ 2801_4684 _  75, 1046_ CLAY ST&KEARNY ST SE-FS/BZ,0:00:00,0:00:00
47,4025, CLAY ST&MONTGOMERY ST SE-FS/,1,56,1,10,4,12,1,37.79141,122.40237,758,1,2801,8:22:45,8:23:36,8:24:06,1001.1 _ 2801_4684 _  75, 1047_ CLAY ST&MONTGOMERY ST SE-FS/,0:00:51,0:00:30
48,4028, CLAY ST&SANSOME ST SE-FS/BZ,0,0,1,10,4,12,1,37.79231,122.40135,758,1,2801,8:25:40,8:25:40,8:25:40,1001.1 _ 2801_4684 _  75, 1048_ CLAY ST&SANSOME ST SE-FS/BZ,0:00:00,0:00:00
22,3893, CALIFORNIA ST&PRESIDIO AVE S,0,0,42,10,4,12,1,37.78535,122.44662,902,1,2801,9:29:07,9:29:07,9:29:07,1001.1 _ 2801_4684 _  90, 1022_ CALIFORNIA ST&PRESIDIO AVE S,0:00:00,0:00:00
23,3848, CALIFORNIA ST&BAKER ST SE-FS,0,0,42,10,4,12,1,37.78583,122.44314,902,1,2801,9:29:37,9:29:37,9:29:37,1001.1 _ 2801_4684 _  90, 1023_ CALIFORNIA ST&BAKER ST SE-FS,0:00:00,0:00:00
24,3859, CALIFORNIA ST&DIVISADERO ST,0,0,42,10,4,12,1,37.78618,122.44039,902,1,2801,9:30:33,9:30:33,9:30:33,1001.1 _ 2801_4684 _  90, 1024_ CALIFORNIA ST&DIVISADERO ST,0:00:00,0:00:00
25,3885, CALIFORNIA ST&PIERCE ST SE-F,0,0,42,10,4,12,1,37.78675,122.43597,902,1,2801,9:31:25,9:31:25,9:31:25,1001.1 _ 2801_4684 _  90, 1025_ CALIFORNIA ST&PIERCE ST SE-F,0:00:00,0:00:00
27,6489, STEINER ST&SACRAMENTO ST SE-,0,0,42,10,4,12,1,37.78704,122.43389,902,1,2801,9:32:03,9:32:03,9:32:03,1001.1 _ 2801_4684 _  90, 1027_ STEINER ST&SACRAMENTO ST SE-,0:00:00,0:00:00
28,6296, SACRAMENTO ST&FILLMORE ST SE,0,0,42,10,4,12,1,37.78721,122.43254,902,1,2801,9:32:42,9:32:42,9:32:42,1001.1 _ 2801_4684 _  90, 1028_ SACRAMENTO ST&FILLMORE ST SE,0:00:00,0:00:00
29,6320, SACRAMENTO ST&WEBSTER ST SW-,0,0,42,10,4,12,1,37.78734,122.43152,902,1,2801,9:32:52,9:32:52,9:32:52,1001.1 _ 2801_4684 _  90, 1029_ SACRAMENTO ST&WEBSTER ST SW-,0:00:00,0:00:00
30,6292, SACRAMENTO ST&BUCHANAN ST SW,0,0,42,10,4,12,1,37.78748,122.43049,902,1,2801,9:33:02,9:33:02,9:33:02,1001.1 _ 2801_4684 _  90, 1030_ SACRAMENTO ST&BUCHANAN ST SW,0:00:00,0:00:00
31,6306, SACRAMENTO ST&LAGUNA ST SW-N,0,0,42,10,4,12,1,37.78773,122.42843,902,1,2801,9:33:22,9:33:22,9:33:22,1001.1 _ 2801_4684 _  90, 1031_ SACRAMENTO ST&LAGUNA ST SW-N,0:00:00,0:00:00
32,6310, SACRAMENTO ST&OCTAVIA ST SE-,0,0,42,10,4,12,1,37.78799,122.42635,902,1,2801,9:33:47,9:33:47,9:33:47,1001.1 _ 2801_4684 _  90, 1032_ SACRAMENTO ST&OCTAVIA ST SE-,0:00:00,0:00:00
33,4905, GOUGH ST&SACRAMENTO ST NE-FS,0,0,42,10,4,12,1,37.78813,122.42517,902,1,2801,9:34:03,9:34:03,9:34:03,1001.1 _ 2801_4684 _  90, 1033_ GOUGH ST&SACRAMENTO ST NE-FS,0:00:00,0:00:00
34,4016, CLAY ST&FRANKLIN ST SW-NS/BZ,0,0,42,10,4,12,1,37.78856,122.42198,902,1,2801,9:35:40,9:35:40,9:35:40,1001.1 _ 2801_4684 _  90, 1034_ CLAY ST&FRANKLIN ST SW-NS/BZ,0:00:00,0:00:00
